user_id,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
1,3.0,2.765157699584961,3.218322277069092,3.0,2.979529619216919,3.0,3.0,3.150883674621582,3.080711841583252,3.0,3.0,3.072050094604492,4.0,2.976558208465576,3.0
2,3.67057728767395,3.0,3.0,3.2324776649475098,3.538797378540039,3.0050220489501953,3.0,3.0,3.5887246131896973,2.6844308376312256,3.0,3.246767520904541,5.0,3.2101480960845947,3.0
3,2.9173502922058105,2.8094918727874756,3.0,3.0,3.0,3.0,3.0,3.0,3.0239179134368896,2.384061574935913,2.513493061065674,4.0,3.0,3.0,2.8659372329711914
4,4.0,4.0,3.1662395000457764,3.8300728797912598,3.0,3.1306188106536865,3.0373024940490723,3.0,3.819593667984009,2.0,3.031121253967285,4.0,3.4946646690368652,4.0,3.29654598236084
5,5.0,4.446277141571045,5.0,5.0,4.187036037445068,4.3276495933532715,5.0,4.567619800567627,5.0,3.8373234272003174,4.187458038330078,5.0,4.685619354248047,4.426515579223633,5.0
6,1.0,3.1521201133728027,4.0,2.0,1.5260438919067383,1.5715107917785645,4.0,2.424149751663208,4.0,2.0,2.9721035957336426,3.0,3.0918641090393066,1.4827075004577637,1.9049997329711914
7,3.0961084365844727,2.3934733867645264,3.0,4.0,3.742924451828003,3.0,2.1262404918670654,2.9166746139526367,3.0,1.6845805644989014,1.0,5.0,3.2968859672546387,3.709183692932129,3.0
8,2.0,2.0067901611328125,2.1866445541381836,2.0074000358581543,4.0,2.6231861114501953,1.876805305480957,2.0,1.0,2.0,1.6886985301971436,3.0,1.0,2.48520565032959,2.0
9,3.0,2.631654739379883,3.0,3.1006827354431152,3.326589584350586,5.0,2.9201581478118896,3.0,3.0,3.2231674194335938,3.0,3.4833571910858154,3.0,4.0,3.0
10,4.244116306304932,4.0,4.447251796722412,5.0,3.652146816253662,3.885347366333008,3.772444248199463,4.201767444610596,5.0,3.436513900756836,3.4724464416503906,5.0,4.258979320526123,4.0,5.0
11,3.9502763748168945,3.0,3.0,3.0,5.0,3.0,3.031569719314575,3.0,2.9980430603027344,2.7118334770202637,2.2921535968780518,3.8302812576293945,3.957077741622925,3.4659881591796875,3.0
12,2.0,2.1324524879455566,2.293610095977783,1.6191930770874023,4.0,2.0,3.0,2.0,2.159909963607788,1.9187684059143066,1.5296547412872314,2.0,4.0,1.857041835784912,1.2548096179962158
13,2.75032901763916,3.0,5.0,5.0,3.0,3.569114923477173,3.868893623352051,5.0,4.0,3.2536158561706543,3.0044291019439697,4.034636974334717,5.0,3.0,3.8811817169189453
14,2.9373154640197754,3.0,3.0,3.0,3.00821590423584,2.796144962310791,3.2914986610412598,3.0,3.197721481323242,2.496428966522217,3.0,3.0493221282958984,4.0,2.749734401702881,2.5939841270446777
15,2.364041805267334,1.3951365947723389,1.77445387840271,1.6042513847351074,3.0,2.0,1.7274863719940186,2.0,1.3200485706329346,2.0,1.300297498703003,2.0,2.2018468379974365,2.0,2.0
16,4.0,1.0,1.0,1.0,2.2296152114868164,1.9850072860717773,1.5015382766723633,1.0430521965026855,3.0,2.5314950942993164,1.5266530513763428,1.6825737953186035,1.979698657989502,2.6731741428375244,2.0
17,2.279604911804199,1.6948542594909668,1.9607136249542236,2.0,2.9207122325897217,2.0,2.238532304763794,2.0,2.330404758453369,1.0,1.0,2.145962715148926,5.0,2.0189640522003174,1.568448543548584
18,3.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,2.5317273139953613,3.6746087074279785,3.2776403427124023,3.1712005138397217,3.0,3.2682037353515625,3.283045768737793
19,2.9463634490966797,4.0,3.496854305267334,2.7477517127990723,2.829049587249756,3.1865086555480957,4.0,3.0,3.5548019409179688,2.7897567749023438,5.0,3.2477686405181885,2.6648316383361816,2.7211179733276367,3.0
20,3.522538185119629,3.2297019958496094,4.0,4.0,3.5987324714660645,3.6736490726470947,3.0,3.7567296028137207,2.0,2.0,2.558485984802246,5.0,2.9491379261016846,4.0,5.0
21,3.0743532180786133,1.0,3.0,3.0,3.0047292709350586,4.056886196136475,2.0861661434173584,5.0,1.0,5.0,1.0,2.0,3.0623972415924072,4.0,3.0
22,5.0,5.0,4.882602691650391,5.0,5.0,5.0,4.823235988616943,5.0,4.970465660095215,5.0,5.0,5.0,5.0,5.0,4.514961242675781
23,1.2626807689666748,4.0,4.0,2.1960933208465576,2.2026007175445557,1.0,5.0,2.0,3.232004165649414,1.313448429107666,3.0,3.0933475494384766,3.2930314540863037,2.0,2.1491215229034424
24,4.0,1.8658406734466553,2.0,2.0,2.886732578277588,2.609419584274292,1.9592056274414062,2.0,2.0,2.0,2.0,2.6996331214904785,2.2045836448669434,3.0572943687438965,3.0
25,3.0,3.227442502975464,3.0,4.3489603996276855,3.4418439865112305,3.0,3.0114312171936035,2.6914405822753906,5.0,2.253009080886841,2.0,5.0,3.9515748023986816,4.0,2.8420143127441406
26,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0990407466888428,1.3285071849822998,0.8177287578582764,1.0,1.0,1.0,1.0933490991592407,0.9364492893218994
27,5.0,2.6496658325195312,2.5966639518737793,3.0,4.03157901763916,3.1271767616271973,3.0438241958618164,3.0,3.7228541374206543,3.0,2.4173097610473633,3.150408983230591,5.0,3.0,3.0
28,2.5351924896240234,2.7555394172668457,3.0,1.0,3.0283570289611816,4.0,5.0,3.039731025695801,2.0,4.0,4.0,1.8921740055084229,3.0,2.3887219429016113,2.444948196411133
29,3.6843109130859375,2.5719027519226074,3.0,3.2253975868225098,3.0,3.354043483734131,3.0,3.2646002769470215,5.0,5.0,3.0,3.1744184494018555,3.2519984245300293,3.4894909858703613,2.830509662628174
30,4.0,2.66810941696167,2.7112107276916504,2.7934410572052,3.0,3.0815963745117188,2.6515378952026367,3.0,2.5124826431274414,2.0,3.0,3.0,2.8485522270202637,3.1716036796569824,3.0
31,2.0,2.3461837768554688,4.0,2.62929630279541,3.0,2.4809048175811768,2.0,2.898697853088379,1.0,1.66025710105896,2.007674217224121,3.0,2.0,2.0,2.835142135620117
32,5.0,2.8423404693603516,2.652125358581543,3.5391287803649902,4.0,3.0,2.9559645652770996,3.0,4.0,3.0,2.34795880317688,3.769474983215332,5.0,3.828486680984497,3.0
33,1.7377572059631348,3.3857359886169434,4.0,1.9353773593902588,1.9874293804168701,3.0,4.024550914764404,2.914609432220459,2.0,2.580785036087036,5.0,2.500544548034668,2.0,2.0,2.8732738494873047
34,5.0,3.0,2.181332588195801,3.2647199630737305,5.0,4.0,2.749107837677002,2.0,3.856105327606201,2.613931655883789,2.0,3.8558006286621094,5.0,3.946892738342285,2.432192325592041
35,3.315852403640747,4.0,3.0,4.0,2.7960972785949707,2.4999587535858154,3.347470760345459,2.0,5.0,2.10319185256958,4.0,4.0,3.0,3.04296875,2.463956117630005
36,5.207259654998779,3.4594366550445557,3.0,4.552989482879639,4.701485633850098,4.126300811767578,3.098386764526367,3.3838014602661133,4.756174087524414,3.2677950859069824,3.0,5.0,5.0,5.0,3.7119171619415283
37,5.0,3.1782915592193604,3.0,3.8429465293884277,3.4562644958496094,3.0,2.9194788932800293,3.0,5.0,3.0,3.1263768672943115,4.194976806640625,3.0,3.9936161041259766,3.0
38,2.6727676391601562,2.2999234199523926,3.0,2.686530828475952,2.8138158321380615,2.0,3.0,3.0,2.9197957515716553,2.039483070373535,1.6492669582366943,2.671557903289795,5.0,2.439182758331299,3.0
39,4.037222385406494,3.0,2.785017967224121,4.0,5.0,3.2021913528442383,3.4346086978912354,3.0,5.0,3.0,3.0,4.037705421447754,5.0,3.550049066543579,1.0
40,5.0,2.0,1.0,3.0,3.996399402618408,3.0,2.0,1.0,3.2228641510009766,2.231971263885498,1.7359733581542969,3.279412269592285,2.695042133331299,4.0,2.0
41,5.0,3.0,2.5751986503601074,3.0,5.0,4.0,3.0,3.0,3.1169018745422363,3.108104705810547,2.9215972423553467,4.0,3.0,4.041687965393066,3.0113892555236816
